inspection_date,business_name,business_latitude,business_longitude,inspection_score,business_postal_code,risk_category
2016-10-04,A1 Geneva Bakery,37.715986,-122.440039,79.0,94112,Low Risk
2016-10-04,A1 Geneva Bakery,37.715986,-122.440039,79.0,94112,High Risk
2016-10-04,A1 Geneva Bakery,37.715986,-122.440039,79.0,94112,Low Risk
2016-10-04,A1 Geneva Bakery,37.715986,-122.440039,79.0,94112,Moderate Risk
2016-10-04,A1 Geneva Bakery,37.715986,-122.440039,79.0,94112,Low Risk
2016-10-04,A1 Geneva Bakery,37.715986,-122.440039,79.0,94112,Moderate Risk
2016-10-05,OMNI S.F. Hotel - Employee Cafeteria,37.792888,-122.403135,96.0,94104,Low Risk
2016-10-05,Wing Lum Cafe,37.787438,-122.419952,77.0,94109,Low Risk
2016-10-05,Wing Lum Cafe,37.787438,-122.419952,77.0,94109,Low Risk
2016-10-05,Wing Lum Cafe,37.787438,-122.419952,77.0,94109,Moderate Risk
2016-10-05,Wing Lum Cafe,37.787438,-122.419952,77.0,94109,Moderate Risk
2016-10-05,Wing Lum Cafe,37.787438,-122.419952,77.0,94109,Moderate Risk
2016-10-05,OMNI S.F. Hotel - Employee Cafeteria,37.792888,-122.403135,96.0,94104,Low Risk
2016-10-05,Wing Lum Cafe,37.787438,-122.419952,77.0,94109,High Risk
2016-10-06,STARBUCKS,37.765427,-122.402645,92.0,94103,Moderate Risk
2016-10-06,STARBUCKS,37.765427,-122.402645,92.0,94103,Low Risk
2016-10-06,STARBUCKS,37.765427,-122.402645,92.0,94103,Low Risk
2016-10-11,Silverstone Cafe,37.752308,-122.417962,89.0,94110,High Risk
2016-10-11,STARBUCKS COFFEE CO,37.784247,-122.403989,96.0,94103,Low Risk
2016-10-11,Silverstone Cafe,37.752308,-122.417962,89.0,94110,Low Risk
2016-10-11,Silverstone Cafe,37.752308,-122.417962,89.0,94110,Low Risk
2016-10-11,STARBUCKS COFFEE CO,37.784247,-122.403989,96.0,94103,Low Risk
2016-10-12,All stars Donuts,37.782694,-122.468969,86.0,94118,Moderate Risk
2016-10-12,All stars Donuts,37.782694,-122.468969,86.0,94118,Low Risk
2016-10-12,All stars Donuts,37.782694,-122.468969,86.0,94118,Moderate Risk
2016-10-12,All stars Donuts,37.782694,-122.468969,86.0,94118,Low Risk
2016-10-13,MY FAVORITE CAFE,37.782169,-122.481942,69.0,94121,High Risk
2016-10-13,MY FAVORITE CAFE,37.782169,-122.481942,69.0,94121,Low Risk
2016-10-13,MY FAVORITE CAFE,37.782169,-122.481942,69.0,94121,Low Risk
2016-10-13,MY FAVORITE CAFE,37.782169,-122.481942,69.0,94121,Moderate Risk
2016-10-13,MY FAVORITE CAFE,37.782169,-122.481942,69.0,94121,Low Risk
2016-10-13,MY FAVORITE CAFE,37.782169,-122.481942,69.0,94121,High Risk
2016-10-13,MY FAVORITE CAFE,37.782169,-122.481942,69.0,94121,High Risk
2016-10-14,STARBUCKS COFFEE #531,37.800547,-122.438494,86.0,94123,Moderate Risk
2016-10-14,STARBUCKS COFFEE #531,37.800547,-122.438494,86.0,94123,Low Risk
2016-10-14,STARBUCKS COFFEE #531,37.800547,-122.438494,86.0,94123,Moderate Risk
2016-10-14,STARBUCKS COFFEE #531,37.800547,-122.438494,86.0,94123,Moderate Risk
2016-10-17,Curbside Cafe,37.788822,-122.434116,83.0,94115,Moderate Risk
2016-10-17,Bob's Donuts and Pastries,37.791914,-122.420984,90.0,94109,Low Risk
2016-10-17,Curbside Cafe,37.788822,-122.434116,83.0,94115,Low Risk
2016-10-17,CAFE LA BOHEME,37.752284,-122.418928,90.0,94110,Low Risk
2016-10-17,Curbside Cafe,37.788822,-122.434116,83.0,94115,High Risk
2016-10-17,GOLDEN CHARIOT BAKERY & REST,37.775878,-122.494382,80.0,94121,Low Risk
2016-10-17,GOLDEN CHARIOT BAKERY & REST,37.775878,-122.494382,80.0,94121,Low Risk
2016-10-17,Bob's Donuts and Pastries,37.791914,-122.420984,90.0,94109,Moderate Risk
2016-10-17,Boudin Bakery,37.791924,-122.398588,90.0,94133,Moderate Risk
2016-10-17,Boudin Bakery,37.791924,-122.398588,90.0,94133,Moderate Risk
2016-10-17,CAFE LA BOHEME,37.752284,-122.418928,90.0,94110,Low Risk
2016-10-17,GOLDEN CHARIOT BAKERY & REST,37.775878,-122.494382,80.0,94121,Low Risk
2016-10-17,GOLDEN CHARIOT BAKERY & REST,37.775878,-122.494382,80.0,94121,Moderate Risk
2016-10-17,GOLDEN CHARIOT BAKERY & REST,37.775878,-122.494382,80.0,94121,Moderate Risk
2016-10-17,Bob's Donuts and Pastries,37.791914,-122.420984,90.0,94109,Moderate Risk
2016-10-17,Boudin Bakery,37.791924,-122.398588,90.0,94133,Low Risk
2016-10-17,LA MEJOR BAKERY,37.752156,-122.41916,96.0,94110,Moderate Risk
