inspection_date,business_name,business_latitude,business_longitude,inspection_score,business_postal_code,risk_category
2016-10-06,SLOAT ELEMENTARY SCHOOL,37.731868,-122.470957,98.0,94127,Low Risk
2016-10-12,LOWELL HIGH SCHOOL,37.731027,-122.483578,98.0,94132,Low Risk
2016-10-13,SAN FRANCISCO DAY SCHOOL,37.777988,-122.446877,98.0,94118,Low Risk
2016-10-14,Gateway High/Kip Schools,37.783427,-122.437747,92.0,94115,Low Risk
2016-10-14,Creative Arts Charter school,37.780021,-122.435468,98.0,94115,Low Risk
2016-10-14,Gateway High/Kip Schools,37.783427,-122.437747,92.0,94115,Moderate Risk
2016-10-14,ST PETER'S PARISH SCHOOL,37.751678,-122.41,96.0,94110,Low Risk
2016-10-14,ST PETER'S PARISH SCHOOL,37.751678,-122.41,96.0,94110,Low Risk
2016-10-14,Gateway High/Kip Schools,37.783427,-122.437747,92.0,94115,Low Risk
2016-10-25,NEW TRADITIONS ALTERNATIVE SCHOOL,37.774333,-122.450327,96.0,94117,Moderate Risk
2016-11-02,SOTA (SCHOOL OF THE ARTS),37.745674,-122.45085,88.0,94131,Low Risk
2016-11-02,MCKINLEY ELEMENTARY SCHOOL,37.767231,-122.436377,91.0,94114,High Risk
2016-11-02,MCKINLEY ELEMENTARY SCHOOL,37.767231,-122.436377,91.0,94114,Low Risk
2016-11-02,SOTA (SCHOOL OF THE ARTS),37.745674,-122.45085,88.0,94131,Moderate Risk
2016-11-02,SOTA (SCHOOL OF THE ARTS),37.745674,-122.45085,88.0,94131,Moderate Risk
2016-11-02,SOTA (SCHOOL OF THE ARTS),37.745674,-122.45085,88.0,94131,Low Risk
2016-11-03,Rooftop Middle School,37.757398,-122.4442,98.0,94114,Low Risk
2016-11-03,ROOFTOP SCHOOL,37.754685,-122.443967,98.0,94131,Low Risk
2016-11-04,MISSION HIGH SCHOOL,37.761425,-122.427293,98.0,94114,Low Risk
2016-11-08,CLARENDON ELEMENTARY SCHOOL,37.751552,-122.456517,98.0,94131,Low Risk
2016-11-09,HOOVER MIDDLE SCHOOL,37.745374,-122.470308,96.0,94116,Moderate Risk
2016-11-14,HILLWOOD SCHOOL,37.793364,-122.439834,96.0,94115,Moderate Risk
2016-11-28,Sodexo at Academy of Art University,37.788978,-122.410684,96.0,94102,Low Risk
2016-11-28,Sodexo at Academy of Art University,37.788978,-122.410684,96.0,94102,Low Risk
2016-11-30,HARVEY MILK ELEMENTARY SCHOOL,37.759173,-122.436488,91.0,94114,High Risk
2016-11-30,HARVEY MILK ELEMENTARY SCHOOL,37.759173,-122.436488,91.0,94114,Low Risk
2016-12-02,JEFFERSON ELEMENTARY SCHOOL,37.763543,-122.476332,94.0,94122,Low Risk
2016-12-02,JEFFERSON ELEMENTARY SCHOOL,37.763543,-122.476332,94.0,94122,Low Risk
2016-12-02,JEFFERSON ELEMENTARY SCHOOL,37.763543,-122.476332,94.0,94122,Low Risk
2017-01-18,LAKESHORE ELEMENTARY SCHOOL,37.730637,-122.4861,92.0,94132,Moderate Risk
2017-01-18,LAKESHORE ELEMENTARY SCHOOL,37.730637,-122.4861,92.0,94132,Moderate Risk
2017-01-20,RAOUL WALLENBERG HIGH SCHOOL,37.780133,-122.445864,96.0,94115,Moderate Risk
2017-01-20,Creative Arts Charter school,37.780021,-122.435468,98.0,94115,Low Risk
2017-01-20,SAN FRANCISCO DAY SCHOOL,37.777988,-122.446877,96.0,94118,Low Risk
2017-01-20,SAN FRANCISCO DAY SCHOOL,37.777988,-122.446877,96.0,94118,Low Risk
2017-02-02,ORTEGA ELEMENTARY SCHOOL,37.716156,-122.466248,96.0,94132,Moderate Risk
2017-02-02,SHERIDAN ELEMENTARY SCHOOL,37.714304,-122.459115,98.0,94112,Low Risk
2017-02-06,Presidio Middle School,37.780823,-122.490105,94.0,94121,Low Risk
2017-02-06,WEBSTER ELEMENTARY SCHOOL,37.760474,-122.396296,96.0,94107,Moderate Risk
2017-02-06,Presidio Middle School,37.780823,-122.490105,94.0,94121,Moderate Risk
