inspection_date,business_name,business_latitude,business_longitude,inspection_score,business_postal_code,risk_category
2016-10-04,Stacks Restaurant,37.776623,-122.424787,84.0,94102,Low Risk
2016-10-04,Stacks Restaurant,37.776623,-122.424787,84.0,94102,Low Risk
2016-10-04,MIKI RESTAURANT,37.775663,-122.497949,82.0,94121,Low Risk
2016-10-04,LUCCA FOOD & WINE SHOP,37.763457,-122.478198,90.0,94122,Moderate Risk
2016-10-04,Stacks Restaurant,37.776623,-122.424787,84.0,94102,Moderate Risk
2016-10-04,Stacks Restaurant,37.776623,-122.424787,84.0,94102,Low Risk
2016-10-04,MIKI RESTAURANT,37.775663,-122.497949,82.0,94121,Low Risk
2016-10-04,MIKI RESTAURANT,37.775663,-122.497949,82.0,94121,Moderate Risk
2016-10-04,Stacks Restaurant,37.776623,-122.424787,84.0,94102,Low Risk
2016-10-04,MIKI RESTAURANT,37.775663,-122.497949,82.0,94121,Low Risk
2016-10-04,MIKI RESTAURANT,37.775663,-122.497949,82.0,94121,Low Risk
2016-10-04,MIKI RESTAURANT,37.775663,-122.497949,82.0,94121,Moderate Risk
2016-10-04,MIKI RESTAURANT,37.775663,-122.497949,82.0,94121,Low Risk
2016-10-04,Stacks Restaurant,37.776623,-122.424787,84.0,94102,Moderate Risk
2016-10-04,LUCCA FOOD & WINE SHOP,37.763457,-122.478198,90.0,94122,Low Risk
2016-10-04,LUCCA FOOD & WINE SHOP,37.763457,-122.478198,90.0,94122,Moderate Risk
2016-10-05,House of Nanking,37.796463,-122.405224,83.0,94133,High Risk
2016-10-05,K's Kitchen,37.731503,-122.45237,96.0,94127,Low Risk
2016-10-05,House of Nanking,37.796463,-122.405224,83.0,94133,Low Risk
2016-10-05,House of Nanking,37.796463,-122.405224,83.0,94133,Low Risk
2016-10-05,BRAZEN HEAD RESTAURANT,37.799218,-122.432517,83.0,94123,Low Risk
2016-10-05,California Pacific Medical Ctr - Hospital Kitchen,37.791426,-122.431039,89.0,94120,High Risk
2016-10-05,BRAZEN HEAD RESTAURANT,37.799218,-122.432517,83.0,94123,High Risk
2016-10-05,OMNI S.F. Hotel - Main Kitchen,37.792888,-122.403135,89.0,94104,Moderate Risk
2016-10-05,K's Kitchen,37.731503,-122.45237,96.0,94127,Low Risk
2016-10-05,California Pacific Medical Ctr - Hospital Kitchen,37.791426,-122.431039,89.0,94120,Moderate Risk
2016-10-05,BRAZEN HEAD RESTAURANT,37.799218,-122.432517,83.0,94123,Low Risk
2016-10-05,BRAZEN HEAD RESTAURANT,37.799218,-122.432517,83.0,94123,Moderate Risk
2016-10-05,House of Nanking,37.796463,-122.405224,83.0,94133,Low Risk
2016-10-05,BRAZEN HEAD RESTAURANT,37.799218,-122.432517,83.0,94123,Low Risk
2016-10-05,House of Nanking,37.796463,-122.405224,83.0,94133,Moderate Risk
2016-10-05,OMNI S.F. Hotel - Main Kitchen,37.792888,-122.403135,89.0,94104,High Risk
2016-10-06,"House of Dim Sum, Inc.",37.795873,-122.407495,81.0,94133,Moderate Risk
2016-10-06,EATS,37.783221,-122.459588,82.0,94118,High Risk
2016-10-06,"House of Dim Sum, Inc.",37.795873,-122.407495,81.0,94133,Low Risk
2016-10-06,EATS,37.783221,-122.459588,82.0,94118,Moderate Risk
2016-10-06,"House of Dim Sum, Inc.",37.795873,-122.407495,81.0,94133,Moderate Risk
2016-10-06,"House of Dim Sum, Inc.",37.795873,-122.407495,81.0,94133,High Risk
2016-10-06,"House of Dim Sum, Inc.",37.795873,-122.407495,81.0,94133,Low Risk
2016-10-06,EATS,37.783221,-122.459588,82.0,94118,High Risk
2016-10-07,Tokyo Express Restaurant,37.784163,-122.404739,80.0,94103,Moderate Risk
2016-10-07,Tokyo Express Restaurant,37.784163,-122.404739,80.0,94103,Moderate Risk
2016-10-07,Tokyo Express Restaurant,37.784163,-122.404739,80.0,94103,Low Risk
2016-10-07,Tokyo Express Restaurant,37.784163,-122.404739,80.0,94103,Moderate Risk
2016-10-07,Tokyo Express Restaurant,37.784163,-122.404739,80.0,94103,Low Risk
2016-10-07,Tokyo Express Restaurant,37.784163,-122.404739,80.0,94103,Moderate Risk
2016-10-11,AT&T - COMMISARY KITCHEN [145184],37.778382,-122.391151,98.0,94107,Low Risk
2016-10-12,New Sun Hong Kong Restaurant,37.797868,-122.407194,80.0,94133,Moderate Risk
2016-10-12,Deli World,37.724174,-122.435859,92.0,94112,Low Risk
2016-10-12,New Sun Hong Kong Restaurant,37.797868,-122.407194,80.0,94133,Low Risk
2016-10-12,New Sun Hong Kong Restaurant,37.797868,-122.407194,80.0,94133,Low Risk
2016-10-12,New Sun Hong Kong Restaurant,37.797868,-122.407194,80.0,94133,Moderate Risk
2016-10-12,Deli World,37.724174,-122.435859,92.0,94112,Low Risk
2016-10-12,New Sun Hong Kong Restaurant,37.797868,-122.407194,80.0,94133,Low Risk
2016-10-12,New Sun Hong Kong Restaurant,37.797868,-122.407194,80.0,94133,Moderate Risk
2016-10-12,New Sun Hong Kong Restaurant,37.797868,-122.407194,80.0,94133,Low Risk
2016-10-12,Deli World,37.724174,-122.435859,92.0,94112,Moderate Risk
2016-10-13,"Taqueria ""Los Coyotes"" #2",37.765028,-122.420402,76.0,94103,Moderate Risk
2016-10-13,Bamboo Restaurant,37.790134,-122.420634,88.0,94109,Moderate Risk
2016-10-13,Bamboo Restaurant,37.790134,-122.420634,88.0,94109,Low Risk
2016-10-13,"Taqueria ""Los Coyotes"" #2",37.765028,-122.420402,76.0,94103,High Risk
2016-10-13,Bamboo Restaurant,37.790134,-122.420634,88.0,94109,Low Risk
2016-10-13,Bamboo Restaurant,37.790134,-122.420634,88.0,94109,Moderate Risk
2016-10-13,"Taqueria ""Los Coyotes"" #2",37.765028,-122.420402,76.0,94103,Moderate Risk
2016-10-13,TAWAN'S THAI FOOD,37.780834,-122.46659,98.0,94118,Low Risk
2016-10-13,"Taqueria ""Los Coyotes"" #2",37.765028,-122.420402,76.0,94103,High Risk
2016-10-13,"Taqueria ""Los Coyotes"" #2",37.765028,-122.420402,76.0,94103,Low Risk
2016-10-14,BUCHANAN FOOD MART,37.789844,-122.430684,96.0,94115,Low Risk
2016-10-14,TAQUERIA GUADALAJARA,37.721191,-122.43755,81.0,94112,Low Risk
2016-10-14,TAQUERIA GUADALAJARA,37.721191,-122.43755,81.0,94112,Low Risk
2016-10-14,TAQUERIA GUADALAJARA,37.721191,-122.43755,81.0,94112,Low Risk
2016-10-14,TAQUERIA GUADALAJARA,37.721191,-122.43755,81.0,94112,Moderate Risk
2016-10-14,TAQUERIA GUADALAJARA,37.721191,-122.43755,81.0,94112,Low Risk
2016-10-14,TAQUERIA GUADALAJARA,37.721191,-122.43755,81.0,94112,High Risk
2016-10-14,BUCHANAN FOOD MART,37.789844,-122.430684,96.0,94115,Low Risk
2016-10-17,Basa Seafood Express,37.752578,-122.413372,94.0,94110,Low Risk
2016-10-17,Basa Seafood Express,37.752578,-122.413372,94.0,94110,Moderate Risk
2016-10-18,Yucatasia Deli & Sandwich,37.762366,-122.419491,79.0,94110,Low Risk
2016-10-18,Kam Lok Restaurant,37.795118,-122.407083,83.0,94108,Low Risk
2016-10-18,Taqueria Mana,37.790043,-122.407104,85.0,94108,Moderate Risk
2016-10-18,La Playa Taqueria,37.752963,-122.50458,89.0,94122,Moderate Risk
2016-10-18,Kam Lok Restaurant,37.795118,-122.407083,83.0,94108,Low Risk
2016-10-18,Taqueria Mana,37.790043,-122.407104,85.0,94108,Low Risk
